Tick,Throttle,Speed,Current,Voltage,Speed1
13764,0, 0, 0, 0, 5682
13814,0, 0, 0, 0, 5682
13864,0, 0, 0, 0, 5682
13915,0, 0, 0, 0, 5682
13965,0, 0, 0, 0, 5682
14017,0, 0, 0, 0, 5682
14067,0, 0, 0, 0, 5682
14117,0, 0, 0, 0, 5682
14167,0, 0, 0, 0, 5682
14217,0, 0, 0, 0, 5682
14269,0, 0, 0, 0, 5682
14319,0, 0, 0, 0, 5682
14369,0, 0, 0, 0, 5682
14419,0, 0, 0, 0, 5682
14469,0, 0, 0, 0, 5682
14521,0, 0, 0, 0, 5682
14571,0, 0, 0, 0, 5682
14621,0, 0, 0, 0, 5682
14671,0, 0, 0, 0, 5682
14721,0, 0, 0, 0, 5682
14773,0, 0, 0, 0, 5682
14823,0, 0, 0, 0, 5682
14873,0, 0, 0, 0, 5682
14923,0, 0, 0, 0, 5682
14973,0, 0, 0, 0, 5682
15025,0, 0, 0, 0, 5682
15076,0, 0, 0, 0, 5682
15126,0, 0, 0, 0, 5682
15176,0, 0, 0, 0, 5682
15226,0, 0, 0, 0, 5682
15278,0, 0, 0, 0, 5682
15328,0, 0, 0, 0, 5682
15378,0, 0, 0, 0, 5682
15428,0, 0, 0, 0, 5682
15478,0, 0, 0, 0, 5682
15530,0, 0, 0, 0, 5682
15580,0, 0, 0, 0, 5682
15630,0, 0, 0, 0, 5682
15680,0, 0, 0, 0, 5682
15730,0, 0, 0, 0, 5682
15782,0, 0, 0, 0, 5682
15832,0, 0, 0, 0, 5682
15882,0, 0, 0, 0, 5682
15932,0, 0, 0, 0, 5682
15982,0, 0, 0, 0, 5682
16034,0, 0, 0, 0, 5682
16084,0, 0, 0, 0, 5682
16134,0, 0, 0, 0, 5682
16185,0, 0, 0, 0, 5682
16235,0, 0, 0, 0, 5682
16287,0, 0, 0, 0, 5682
16337,0, 0, 0, 0, 5682
16387,0, 0, 0, 0, 5682
16437,0, 0, 0, 0, 5682
16487,0, 0, 0, 0, 5682
16539,0, 0, 0, 0, 5682
16589,0, 0, 0, 0, 5682
16639,0, 0, 0, 0, 5682
16689,0, 0, 0, 0, 5682
16739,0, 0, 0, 0, 5682
16791,0, 0, 0, 0, 5682
16841,0, 0, 0, 0, 5682
16891,0, 0, 0, 0, 5682
16941,0, 0, 0, 0, 5682
16991,0, 0, 0, 0, 5682
17043,0, 0, 0, 0, 5682
17093,0, 0, 0, 0, 5682
17143,0, 0, 0, 0, 5682
17193,0, 0, 0, 0, 5682
17243,0, 0, 0, 0, 5682
17296,0, 0, 0, 0, 5682
17346,0, 0, 0, 0, 5682
17396,0, 0, 0, 0, 5682
17446,0, 0, 0, 0, 5682
17496,0, 0, 0, 0, 5682
17548,0, 0, 0, 0, 5682
17598,0, 0, 0, 0, 5682
17648,0, 0, 0, 0, 5682
17698,0, 0, 0, 0, 5682
17748,0, 0, 0, 0, 5682
17800,0, 0, 0, 0, 5682
17850,0, 0, 0, 0, 5682
17900,0, 0, 0, 0, 5682
17950,0, 0, 0, 0, 5682
18000,0, 0, 0, 0, 5682
18053,0, 0, 0, 0, 5682
18103,0, 0, 0, 0, 5682
