Vendor,GRAPHTEC Corporation
Model,GL240
Firmware,Ver1.43
Software, "Ver1.30"
MaxChannel,10CH
GSStartCH
WLStartCH,10CH
Sampling,50ms
Total data points,460         
Trigger,0           
Start time,2023-06-04,13:29:29
Stop time,2023-06-04,13:29:52
Trigger time,2023-06-04,13:29:29
AC Mode, AC1_2, AC1_2
Logic/Pulse,Pulse,Off
Amp setting
CH, Signal name, AMP, Input, Range, Temp Range, Filter, Span
CH5,CH 5,M,DC,2V,,Off,50.000000,-50.000000,A
CH6,CH 6,M,DC,100V,,Off,50.000000,-50.000000,V
Pulse1,COUNT,L,On,500000.000000,0.000000,C
Data
No., Date&Time, ms,CH5,CH6,Pulse1,Alarm1,AlarmLP,AlarmOut
NO.,Time,ms,A,V,C,A1234567890,A1-28,A123456789
115,2023-06-04 13:29:34,700,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
116,2023-06-04 13:29:34,750,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
117,2023-06-04 13:29:34,800,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
118,2023-06-04 13:29:34,850,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
119,2023-06-04 13:29:34,900,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
120,2023-06-04 13:29:34,950,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
121,2023-06-04 13:29:35,000,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
122,2023-06-04 13:29:35,050,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
123,2023-06-04 13:29:35,100,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
124,2023-06-04 13:29:35,150,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
125,2023-06-04 13:29:35,200,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
126,2023-06-04 13:29:35,250,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
127,2023-06-04 13:29:35,300,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
128,2023-06-04 13:29:35,350,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
129,2023-06-04 13:29:35,400,-0.0560,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
130,2023-06-04 13:29:35,450,-0.0560,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
131,2023-06-04 13:29:35,500,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
132,2023-06-04 13:29:35,550,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
133,2023-06-04 13:29:35,600,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
134,2023-06-04 13:29:35,650,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
135,2023-06-04 13:29:35,700,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
136,2023-06-04 13:29:35,750,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
137,2023-06-04 13:29:35,800,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
138,2023-06-04 13:29:35,850,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
139,2023-06-04 13:29:35,900,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
140,2023-06-04 13:29:35,950,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
141,2023-06-04 13:29:36,000,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
142,2023-06-04 13:29:36,050,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
143,2023-06-04 13:29:36,100,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
144,2023-06-04 13:29:36,150,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
145,2023-06-04 13:29:36,200,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
146,2023-06-04 13:29:36,250,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
147,2023-06-04 13:29:36,300,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
148,2023-06-04 13:29:36,350,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
149,2023-06-04 13:29:36,400,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
150,2023-06-04 13:29:36,450,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
151,2023-06-04 13:29:36,500,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
152,2023-06-04 13:29:36,550,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
153,2023-06-04 13:29:36,600,-0.0320,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
154,2023-06-04 13:29:36,650,-0.0560,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
155,2023-06-04 13:29:36,700,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
156,2023-06-04 13:29:36,750,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
157,2023-06-04 13:29:36,800,-0.0560,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
158,2023-06-04 13:29:36,850,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
159,2023-06-04 13:29:36,900,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
160,2023-06-04 13:29:36,950,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
161,2023-06-04 13:29:37,000,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
162,2023-06-04 13:29:37,050,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
163,2023-06-04 13:29:37,100,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
164,2023-06-04 13:29:37,150,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
165,2023-06-04 13:29:37,200,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
166,2023-06-04 13:29:37,250,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
167,2023-06-04 13:29:37,300,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
168,2023-06-04 13:29:37,350,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
169,2023-06-04 13:29:37,400,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
170,2023-06-04 13:29:37,450,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
