Vendor,GRAPHTEC Corporation
Model,GL240
Firmware,Ver1.43
Software, "Ver1.30"
MaxChannel,10CH
GSStartCH
WLStartCH,10CH
Sampling,50ms
Total data points,365         
Trigger,0           
Start time,2023-05-20,16:57:54
Stop time,2023-05-20,16:58:12
Trigger time,2023-05-20,16:57:54
AC Mode, AC1_2, AC1_2
Logic/Pulse,Pulse,Off
Amp setting
CH, Signal name, AMP, Input, Range, Temp Range, Filter, Span
CH4,CH 4,M,DC,1-5V,,Off,0.458300,-0.458300,On
CH5,CH 5,M,DC,2V,,Off,50.000000,-50.000000,A
CH6,CH 6,M,DC,100V,,Off,50.000000,-50.000000,V
Pulse1,COUNT,L,On,500000.000000,0.000000,C
Data
No., Date&Time, ms,CH4,CH5,CH6,Pulse1,Alarm1,AlarmLP,AlarmOut
NO.,Time,ms,On,A,V,C,A1234567890,A1-28,A123456789
150,2023-05-20 16:58:01,450,+0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
151,2023-05-20 16:58:01,500,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
152,2023-05-20 16:58:01,550,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
153,2023-05-20 16:58:01,600,+0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
154,2023-05-20 16:58:01,650,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
155,2023-05-20 16:58:01,700,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
156,2023-05-20 16:58:01,750,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
157,2023-05-20 16:58:01,800,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
158,2023-05-20 16:58:01,850,+0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
159,2023-05-20 16:58:01,900,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
160,2023-05-20 16:58:01,950,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
161,2023-05-20 16:58:02,000,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
