Tick,Throttle,Speed,Current,Voltage,Speed
27540,0, 0, 0, 0, 5682
27590,0, 0, 0, 0, 5682
27640,0, 0, 0, 0, 5682
27692,0, 0, 0, 0, 5682
27742,0, 0, 0, 0, 5682
27792,0, 0, 0, 0, 5682
27842,0, 0, 0, 0, 5682
27892,0, 0, 0, 0, 5682
27944,0, 0, 0, 0, 5682
27994,0, 0, 0, 0, 5682
28044,0, 0, 0, 0, 5682
28094,0, 0, 0, 0, 5682
28144,0, 0, 0, 0, 5682
28196,0, 0, 0, 0, 5682
28246,0, 0, 0, 0, 5682
28296,0, 0, 0, 0, 5682
28346,0, 0, 0, 0, 5682
28396,0, 0, 0, 0, 5682
28448,0, 0, 0, 0, 5682
28498,0, 0, 0, 0, 5682
28549,0, 0, 0, 0, 5682
28599,0, 0, 0, 0, 5682
28649,0, 0, 0, 0, 5682
28701,0, 0, 0, 0, 5682
28751,0, 0, 0, 0, 5682
28801,0, 0, 0, 0, 5682
28851,0, 0, 0, 0, 5682
28901,0, 0, 0, 0, 5682
28953,0, 0, 0, 0, 5682
29003,0, 0, 0, 0, 5682
29053,0, 0, 0, 0, 5682
29103,0, 0, 0, 0, 5682
29153,0, 0, 0, 0, 5682
29205,0, 0, 0, 0, 5682
29255,0, 0, 0, 0, 5682
29305,0, 0, 0, 0, 5682
29355,0, 0, 0, 0, 5682
29405,0, 0, 0, 0, 5682
29457,0, 0, 0, 0, 5682
29507,0, 0, 0, 0, 5682
29557,0, 0, 0, 0, 5682
29607,0, 0, 0, 0, 5682
29658,0, 0, 0, 0, 5682
29710,0, 0, 0, 0, 5682
29760,0, 0, 0, 0, 5682
29810,0, 0, 0, 0, 5682
29860,0, 0, 0, 0, 5682
29910,0, 0, 0, 0, 5682
29962,0, 0, 0, 0, 5682
30012,0, 0, 0, 0, 5682
30062,0, 0, 0, 0, 5682
30112,0, 0, 0, 0, 5682
30162,0, 0, 0, 0, 5682
30214,0, 0, 0, 0, 5682
30264,0, 0, 0, 0, 5682
30314,0, 0, 0, 0, 5682
30364,0, 0, 0, 0, 5682
30414,0, 0, 0, 0, 5682
30466,0, 0, 0, 0, 5682
30516,0, 0, 0, 0, 5682
30566,0, 0, 0, 0, 5682
30616,0, 0, 0, 0, 5682
30666,0, 0, 0, 0, 5682
30718,0, 0, 0, 0, 5682
30769,0, 0, 0, 0, 5682
30819,0, 0, 0, 0, 5682
30869,0, 0, 0, 0, 5682
30919,0, 0, 0, 0, 5682
30971,0, 0, 0, 0, 5682
31021,0, 0, 0, 0, 5682
31071,0, 0, 0, 0, 5682
31121,0, 0, 0, 0, 5682
31171,0, 0, 0, 0, 5682
31223,0, 0, 0, 0, 5682
31273,0, 0, 0, 0, 5682
31323,0, 0, 0, 0, 5682
31373,0, 0, 0, 0, 5682
31423,0, 0, 0, 0, 5682
31475,0, 0, 0, 0, 5682
31525,0, 0, 0, 0, 5682
31575,0, 0, 0, 0, 5682
31625,0, 0, 0, 0, 5682
31675,0, 0, 0, 0, 5682
31727,0, 0, 0, 0, 5682
31777,0, 0, 0, 0, 5682
31827,0, 0, 0, 0, 5682
31877,0, 0, 0, 0, 5682
31928,0, 0, 0, 0, 5682
31980,0, 0, 0, 0, 5682
32030,0, 0, 0, 0, 5682
32080,0, 0, 0, 0, 5682
32130,0, 0, 0, 0, 5682
32180,0, 0, 0, 0, 5682
32232,0, 0, 0, 0, 5682
32282,0, 0, 0, 0, 5682
32332,0, 0, 0, 0, 5682
32382,0, 0, 0, 0, 5682
32432,0, 0, 0, 0, 5682
32484,0, 0, 0, 0, 5682
32534,0, 0, 0, 0, 5682
32584,0, 0, 0, 0, 5682
32634,0, 0, 0, 0, 5682
32684,0, 0, 0, 0, 5682
32736,0, 0, 0, 0, 5682
32786,0, 0, 0, 0, 5682
32836,0, 0, 0, 0, 5682
32886,0, 0, 0, 0, 5682
32936,0, 0, 0, 0, 5682
32988,0, 0, 0, 0, 5682
33039,0, 0, 0, 0, 5682
33089,0, 0, 0, 0, 5682
33139,0, 0, 0, 0, 5682
33189,0, 0, 0, 0, 5682
33243,0, 0, 0, 0, 5682
33293,0, 0, 0, 0, 5682
33343,0, 0, 0, 0, 5682
33393,0, 0, 0, 0, 5682
33443,0, 0, 0, 0, 5682
33495,0, 0, 0, 0, 5682
33545,0, 0, 0, 0, 5682
33595,0, 0, 0, 0, 5682
33645,0, 0, 0, 0, 5682
33695,0, 0, 0, 0, 5682
33747,0, 0, 0, 0, 5682
33797,0, 0, 0, 0, 5682
33847,0, 0, 0, 0, 5682
33897,0, 0, 0, 0, 5682
33947,0, 0, 0, 0, 5682
33999,0, 0, 0, 0, 5682
34049,0, 0, 0, 0, 5682
34099,0, 0, 0, 0, 5682
34150,0, 0, 0, 0, 5682
34200,0, 0, 0, 0, 5682
34252,0, 0, 0, 0, 5682
34302,0, 0, 0, 0, 5682
34352,0, 0, 0, 0, 5682
34402,0, 0, 0, 0, 5682
34452,0, 0, 0, 0, 5682
34504,0, 0, 0, 0, 5682
34554,0, 0, 0, 0, 5682
34604,0, 0, 0, 0, 5682
34654,0, 0, 0, 0, 5682
34704,0, 0, 0, 0, 5682
34756,0, 0, 0, 0, 5682
34806,0, 0, 0, 0, 5682
34856,0, 0, 0, 0, 5682
34906,0, 0, 0, 0, 5682
34956,0, 0, 0, 0, 5682
35008,0, 0, 0, 0, 5682
35058,0, 0, 0, 0, 5682
35108,0, 0, 0, 0, 5682
35158,0, 0, 0, 0, 5682
35208,0, 0, 0, 0, 5682
35261,0, 0, 0, 0, 5682
35311,0, 0, 0, 0, 5682
35361,0, 0, 0, 0, 5682
35411,0, 0, 0, 0, 5682
35461,0, 0, 0, 0, 5682
